user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s002,1,fixed,0.65,0.71,0.16,0.42
s002,2,fixed,0.65,0.5730000000000001,0.074,0.78
s002,3,fixed,0.65,0.8218000000000001,0.1564,0.2
s002,4,fixed,0.65,0.7869999999999999,0.146,0.28
s002,5,fixed,0.65,0.7038,0.2324,0.36
s002,6,fixed,0.65,0.761,0.138,0.34
s002,7,fixed,0.65,0.7442,0.1316,0.38
s003,1,fixed,0.65,0.7121999999999999,0.0756,0.5
s003,2,fixed,0.65,0.8744,0.1912,0.06
s003,3,fixed,0.65,0.8686,0.0628,0.2
s003,4,fixed,0.65,0.9094,0.0412,0.14
s003,5,fixed,0.65,0.9336,0.1328,0.0
s003,6,fixed,0.65,0.9496,0.0408,0.06
s003,7,fixed,0.65,0.9574,0.0652,0.02
s004,1,fixed,0.65,0.7248,0.1504,0.4
s004,2,fixed,0.65,0.8395999999999999,0.1408,0.18
s004,3,fixed,0.65,0.8171999999999999,0.0856,0.28
s004,4,fixed,0.65,0.8056000000000001,0.1688,0.22
s004,5,fixed,0.65,0.8744000000000001,0.1712,0.08
s004,6,fixed,0.65,0.9302,0.1396,0.0
s004,7,fixed,0.65,0.7428,0.0344,0.48
s005,1,fixed,0.65,0.8246,0.0508,0.3
s005,2,fixed,0.65,0.8360000000000001,0.068,0.26
s005,3,fixed,0.65,0.8191999999999999,0.1816,0.18
s005,4,fixed,0.65,0.8052,0.1496,0.24
s005,5,fixed,0.65,0.85,0.14,0.16
s005,6,fixed,0.65,0.7816000000000001,0.0768,0.36
s005,7,fixed,0.65,0.8942,0.0716,0.14
s007,1,fixed,0.65,0.9114,0.1572,0.02
s007,2,fixed,0.65,0.859,0.162,0.12
s007,3,fixed,0.65,0.8416,0.1968,0.12
s007,4,fixed,0.65,0.8708,0.1184,0.14
s007,5,fixed,0.65,0.8476,0.1848,0.12
s007,6,fixed,0.65,0.8196,0.1608,0.2
s007,7,fixed,0.65,0.7834,0.2532,0.18
s008,1,fixed,0.65,0.7374,0.1652,0.36
s008,2,fixed,0.65,0.5022,0.1956,0.8
s008,3,fixed,0.65,0.8044,0.1512,0.24
s008,4,fixed,0.65,0.9124,0.1352,0.04
s008,5,fixed,0.65,0.8632,0.2136,0.06
s008,6,fixed,0.65,0.73,0.14,0.4
s008,7,fixed,0.65,0.8879999999999999,0.184,0.04
s010,1,fixed,0.65,0.8755999999999999,0.1288,0.12
s010,2,fixed,0.65,0.9410000000000001,0.078,0.04
s010,3,fixed,0.65,0.5816,0.0168,0.82
s010,4,fixed,0.65,0.961,0.038,0.04
s010,5,fixed,0.65,0.9662,0.0076,0.06
s010,6,fixed,0.65,0.8012,0.0576,0.34
s010,7,fixed,0.65,0.9538,0.0324,0.06
s011,1,fixed,0.65,0.878,0.124,0.12
s011,2,fixed,0.65,0.9024,0.1352,0.06
s011,3,fixed,0.65,0.8755999999999999,0.1088,0.14
s011,4,fixed,0.65,0.9261999999999999,0.1276,0.02
s011,5,fixed,0.65,0.9498,0.1004,0.0
s011,6,fixed,0.65,0.9398,0.0604,0.06
s011,7,fixed,0.65,0.9358,0.0084,0.12
s012,1,fixed,0.65,0.897,0.086,0.12
s012,2,fixed,0.65,0.9292,0.1416,0.0
s012,3,fixed,0.65,0.661,0.018,0.66
s012,4,fixed,0.65,0.8902,0.0396,0.18
s012,5,fixed,0.65,0.8260000000000001,0.028,0.32
s012,6,fixed,0.65,0.9416,0.0568,0.06
s012,7,fixed,0.65,0.9222,0.0556,0.1
s013,1,fixed,0.65,0.8240000000000001,0.112,0.24
s013,2,fixed,0.65,0.8422000000000001,0.1756,0.14
s013,3,fixed,0.65,0.9024,0.0552,0.14
s013,4,fixed,0.65,0.8996,0.0808,0.12
s013,5,fixed,0.65,0.7356,0.0488,0.48
s013,6,fixed,0.65,0.8635999999999999,0.0328,0.24
s013,7,fixed,0.65,0.8224,0.1952,0.16
s015,1,fixed,0.65,0.654,0.092,0.6
s015,2,fixed,0.65,0.8256,0.1088,0.24
s015,3,fixed,0.65,0.8366,0.0868,0.24
s015,4,fixed,0.65,0.8956,0.1088,0.1
s015,5,fixed,0.65,0.8936,0.0928,0.12
