class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.1068,0.1547,0.0479,0.0965,0.082,-0.0145,0.0857,0.101,0.0153,0.1174,0.2669,0.1495,0.1037,0.4123,0.3086,0.0913,0.1702,0.0789,0.1095,0.1676,0.0581,0.0981,0.0934,-0.0047,0.1005,0.1145,0.014,0.1147,0.2072,0.0925,0.1039
0,0.1068,0.1144,0.0076,0.061,0.1204,0.0594,0.1195,0.0836,-0.0359,0.0452,0.1939,0.1487,0.0517,0.3445,0.2928,0.0749,0.3057,0.2308,0.0703,0.0062,-0.0641,0.1304,0.5186,0.3882,0.0921,0.167,0.0749,0.0984,0.1859,0.0875,0.1084
0,0.0802,0.3937,0.3135,0.1105,0.1609,0.0504,0.0441,0.1533,0.1092,0.1108,0.2566,0.1458,0.105,0.6265,0.5215,0.158,0.2466,0.0886,0.0907,0.1984,0.1077,0.1456,0.2074,0.0618,0.0657,0.3117,0.246,0.0789,0.7895,0.7106,0.0728
1,0.1306,0.2479,0.1173,0.1042,0.0691,-0.0351,0.0692,0.1317,0.0625,0.0623,0.1923,0.13,0.0762,0.3579,0.2817,0.0981,0.3487,0.2506,0.1047,0.1204,0.0157,0.124,0.1169,-0.0071,0.0689,0.1393,0.0704,0.1005,0.286,0.1855,0.0863
1,0.1045,0.2706,0.1661,0.1045,0.0802,-0.0243,0.0634,0.1439,0.0805,0.066,0.2224,0.1564,0.0778,0.368,0.2902,0.105,0.3352,0.2302,0.1026,0.1238,0.0212,0.1443,0.1301,-0.0142,0.0736,0.1474,0.0738,0.1076,0.3156,0.208,0.0944
1,0.1174,0.2589,0.1415,0.1015,0.0849,-0.0166,0.0688,0.1561,0.0873,0.101,0.3861,0.2851,0.062,0.4399,0.3779,0.1137,0.4107,0.297,0.1074,0.1086,0.0012,0.1311,0.142,0.0109,0.0728,0.1509,0.0781,0.0897,0.3931,0.3034,0.105
1,0.1158,0.2373,0.1215,0.1016,0.0752,-0.0264,0.0723,0.1414,0.0691,0.0913,0.3052,0.2139,0.1047,0.4703,0.3656,0.115,0.4418,0.3268,0.0955,0.1167,0.0212,0.1221,0.1346,0.0125,0.0686,0.1651,0.0965,0.0992,0.3174,0.2182,0.0644
0,0.0897,0.1194,0.0297,0.1053,0.1367,0.0314,0.0573,0.0805,0.0232,0.0739,0.2047,0.1308,0.0997,0.4212,0.3215,0.1452,0.1264,-0.0188,0.0856,0.158,0.0724,0.1134,0.1169,0.0035,0.0963,0.1361,0.0398,0.1071,0.2354,0.1283,0.086
1,0.0929,0.3022,0.2093,0.0739,0.0565,-0.0174,0.0702,0.1335,0.0633,0.0678,0.2105,0.1427,0.0554,0.3928,0.3374,0.1002,0.4138,0.3136,0.0855,0.0763,-0.0092,0.1253,0.1633,0.038,0.0665,0.1456,0.0791,0.0971,0.2692,0.1721,0.081
1,0.1137,0.3454,0.2317,0.0604,0.0842,0.0238,0.0826,0.1913,0.1087,0.0591,0.5237,0.4646,0.0491,0.4738,0.4247,0.0607,0.3451,0.2844,0.081,0.1294,0.0484,0.0886,0.1171,0.0285,0.0652,0.1839,0.1187,0.0826,0.3723,0.2897,0.0718
1,0.1002,0.2539,0.1537,0.1006,0.0805,-0.0201,0.0869,0.1236,0.0367,0.0907,0.2363,0.1456,0.0836,0.4408,0.3572,0.1147,0.461,0.3463,0.1045,0.142,0.0375,0.1211,0.1108,-0.0103,0.0713,0.1296,0.0583,0.1063,0.3427,0.2364,0.0907
1,0.1395,0.2977,0.1582,0.091,0.072,-0.019,0.0726,0.1262,0.0536,0.0881,0.2107,0.1226,0.0636,0.386,0.3224,0.1045,0.3303,0.2258,0.1039,0.1217,0.0178,0.1419,0.134,-0.0079,0.0681,0.1541,0.086,0.1024,0.3122,0.2098,0.0813
0,0.1021,0.1334,0.0313,0.0528,0.137,0.0842,0.0673,0.0646,-0.0027,0.0963,0.2376,0.1413,0.1029,0.2702,0.1673,0.0905,0.1778,0.0873,0.0876,0.0953,0.0077,0.096,0.1074,0.0114,0.0631,0.1736,0.1105,0.0789,0.1305,0.0516,0.0947
1,0.091,0.2658,0.1748,0.1061,0.0797,-0.0264,0.0602,0.1422,0.082,0.0557,0.2002,0.1445,0.0607,0.3591,0.2984,0.0936,0.3369,0.2433,0.1008,0.1365,0.0357,0.1351,0.1045,-0.0306,0.0747,0.1504,0.0757,0.0947,0.3119,0.2172,0.0786
0,0.1187,0.1521,0.0334,0.0491,0.0955,0.0464,0.0932,0.0918,-0.0014,0.0452,0.1947,0.1495,0.0515,0.2934,0.2419,0.0433,0.1849,0.1416,0.047,0.0782,0.0312,0.1293,0.0842,-0.0451,0.113,0.0728,-0.0402,0.118,0.2252,0.1072,0.0807
1,0.1068,0.2088,0.102,0.0773,0.0784,0.0011,0.0697,0.1088,0.0391,0.082,0.2645,0.1825,0.0528,0.4295,0.3767,0.0646,0.3402,0.2756,0.0905,0.1186,0.0281,0.1055,0.1404,0.0349,0.0657,0.1714,0.1057,0.0905,0.3873,0.2968,0.0871
0,0.0927,0.2111,0.1184,0.061,0.1191,0.0581,0.057,0.246,0.189,0.0705,0.3117,0.2412,0.0628,0.3674,0.3046,0.0842,0.2149,0.1307,0.051,0.2102,0.1592,0.1624,0.041,-0.1214,0.0895,0.4384,0.3489,0.0739,0.2912,0.2173,0.0602
0,0.0847,0.1654,0.0807,0.0869,0.1278,0.0409,0.0887,0.5429,0.4542,0.0747,0.2845,0.2098,0.0726,0.3311,0.2585,0.0727,0.1783,0.1056,0.0855,0.126,0.0405,0.0961,0.1592,0.0631,0.0892,0.2087,0.1195,0.1029,0.2672,0.1643,0.0557
1,0.0844,0.2067,0.1223,0.0807,0.086,0.0053,0.0625,0.1213,0.0588,0.0673,0.2021,0.1348,0.0686,0.4052,0.3366,0.0981,0.3769,0.2788,0.101,0.1114,0.0104,0.1332,0.1303,-0.0029,0.067,0.1511,0.0841,0.0884,0.347,0.2586,0.0881
1,0.114,0.2795,0.1655,0.1014,0.1,-0.0014,0.0663,0.1112,0.0449,0.0757,0.2012,0.1255,0.0554,0.379,0.3236,0.0979,0.363,0.2651,0.1053,0.1294,0.0241,0.1401,0.1013,-0.0388,0.071,0.1517,0.0807,0.1084,0.3214,0.213,0.086
0,0.0908,0.1345,0.0437,0.0969,0.1252,0.0283,0.0755,0.3621,0.2866,0.1217,0.3302,0.2085,0.1095,0.4318,0.3223,0.1088,0.2136,0.1048,0.0869,0.1203,0.0334,0.0937,0.1165,0.0228,0.1233,0.7764,0.6531,0.0958,0.3303,0.2345,0.071
0,0.1303,0.5007,0.3704,0.061,0.1581,0.0971,0.0834,0.133,0.0496,0.0525,0.5475,0.495,0.0834,0.3672,0.2838,0.084,0.208,0.124,0.0805,0.1273,0.0468,0.0786,0.0963,0.0177,0.1216,0.1791,0.0575,0.1459,0.472,0.3261,0.124
1,0.0889,0.3354,0.2465,0.1103,0.1528,0.0425,0.0733,0.1401,0.0668,0.1029,0.2461,0.1432,0.0836,0.4368,0.3532,0.1103,0.3749,0.2646,0.0902,0.1423,0.0521,0.1285,0.1077,-0.0208,0.0633,0.1411,0.0778,0.0968,0.3116,0.2148,0.0889
1,0.0947,0.2721,0.1774,0.109,0.0773,-0.0317,0.0673,0.1259,0.0586,0.0857,0.2136,0.1279,0.057,0.3841,0.3271,0.1039,0.3202,0.2163,0.1021,0.142,0.0399,0.1325,0.1016,-0.0309,0.0711,0.1531,0.082,0.1016,0.322,0.2204,0.0818
0,0.0758,0.1491,0.0733,0.0557,0.1175,0.0618,0.0744,0.0858,0.0114,0.052,0.4642,0.4122,0.0454,0.3437,0.2983,0.0676,0.2155,0.1479,0.0634,0.0857,0.0223,0.0771,0.1664,0.0893,0.0657,0.3298,0.2641,0.0679,0.2979,0.23,0.0523
1,0.0749,0.2845,0.2096,0.0987,0.0847,-0.014,0.0599,0.129,0.0691,0.0641,0.2052,0.1411,0.0509,0.3785,0.3276,0.0907,0.3252,0.2345,0.0855,0.112,0.0265,0.1464,0.1071,-0.0393,0.0607,0.1359,0.0752,0.1079,0.3143,0.2064,0.0733
1,0.0844,0.4522,0.3678,0.1121,0.1303,0.0182,0.0863,0.0726,-0.0137,0.0979,0.2258,0.1279,0.067,0.4039,0.3369,0.1058,0.3229,0.2171,0.1089,0.1238,0.0149,0.1393,0.1222,-0.0171,0.0733,0.1337,0.0604,0.1097,0.339,0.2293,0.0944
