class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.1053,0.1915,0.0862,0.0728,0.278,0.2052,0.1042,0.2023,0.0981,0.0596,0.6608,0.6012,0.0963,0.4076,0.3113,0.0897,0.5246,0.4349,0.0786,0.1396,0.061,0.0907,0.1232,0.0325,0.1066,0.1847,0.0781,0.1195,0.2304,0.1109,0.1145
0,0.0478,0.4528,0.405,0.0649,0.0488,-0.0161,0.1114,0.1103,-0.0011,0.0766,0.387,0.3104,0.0528,0.2976,0.2448,0.0599,0.2182,0.1583,0.0633,0.2865,0.2232,0.0985,0.0647,-0.0338,0.1119,0.0507,-0.0612,0.1451,0.3494,0.2043,0.0728
0,0.129,0.2152,0.0862,0.099,0.0868,-0.0122,0.0811,0.1091,0.028,0.1221,0.2598,0.1377,0.0834,0.3428,0.2594,0.094,0.1507,0.0567,0.0987,0.1233,0.0246,0.1087,0.0897,-0.019,0.1069,0.1414,0.0345,0.1089,0.4957,0.3868,0.0818
1,0.0794,0.1529,0.0735,0.0515,0.1006,0.0491,0.0781,0.1401,0.062,0.0715,0.4992,0.4277,0.0749,0.3031,0.2282,0.0364,0.1801,0.1437,0.0987,0.0639,-0.0348,0.123,0.1098,-0.0132,0.1154,0.0789,-0.0365,0.0885,0.1804,0.0919,0.0876
1,0.0649,0.1334,0.0685,0.0414,0.0802,0.0388,0.1079,0.1021,-0.0058,0.0551,0.227,0.1719,0.0399,0.2929,0.253,0.0399,0.1745,0.1346,0.0749,0.1072,0.0323,0.0562,0.0631,0.0069,0.0943,0.0781,-0.0162,0.0523,0.1777,0.1254,0.0636
1,0.1277,0.1464,0.0187,0.0491,0.0979,0.0488,0.095,0.0889,-0.0061,0.0533,0.1841,0.1308,0.0631,0.2612,0.1981,0.0404,0.171,0.1306,0.0681,0.0698,0.0017,0.1077,0.0942,-0.0135,0.1104,0.0853,-0.0251,0.0887,0.1785,0.0898,0.0944
1,0.0947,0.12,0.0253,0.0504,0.1274,0.077,0.0966,0.0604,-0.0362,0.0732,0.2003,0.1271,0.0633,0.2988,0.2355,0.0533,0.2392,0.1859,0.0936,0.0982,0.0046,0.1079,0.0847,-0.0232,0.1117,0.0818,-0.0299,0.0742,0.1564,0.0822,0.0915
0,0.0897,0.1194,0.0297,0.1053,0.1367,0.0314,0.0573,0.0805,0.0232,0.0739,0.2047,0.1308,0.0997,0.4212,0.3215,0.1452,0.1264,-0.0188,0.0856,0.158,0.0724,0.1134,0.1169,0.0035,0.0963,0.1361,0.0398,0.1071,0.2354,0.1283,0.086
1,0.0776,0.1332,0.0556,0.0596,0.0915,0.0319,0.0955,0.0749,-0.0206,0.0496,0.188,0.1384,0.056,0.6288,0.5728,0.0014,0.2296,0.2282,0.0617,0.0919,0.0302,0.1079,0.0499,-0.058,0.1047,0.0717,-0.033,0.096,0.2544,0.1584,0.095
1,0.1213,0.2275,0.1062,0.0441,0.0571,0.013,0.09,0.0662,-0.0238,0.0542,0.1929,0.1387,0.0565,0.2834,0.2269,0.0483,0.1768,0.1285,0.0578,0.0748,0.017,0.1182,0.0763,-0.0419,0.1132,0.0709,-0.0423,0.1006,0.1627,0.0621,0.0979
1,0.0976,0.1221,0.0245,0.057,0.1098,0.0528,0.0971,0.9402,0.8431,0.1161,0.3653,0.2492,0.0675,0.3663,0.2988,0.0731,0.2717,0.1986,0.0699,0.0977,0.0278,0.0908,0.0454,-0.0454,0.118,0.0839,-0.0341,0.0984,0.1906,0.0922,0.0952
1,0.1134,0.121,0.0076,0.0567,0.1432,0.0865,0.0945,0.0665,-0.028,0.0399,0.1723,0.1324,0.066,0.2612,0.1952,0.0533,0.1895,0.1362,0.0952,0.0979,0.0027,0.1381,0.0689,-0.0692,0.1062,0.0678,-0.0384,0.0898,0.1533,0.0635,0.1008
0,0.1021,0.1334,0.0313,0.0528,0.137,0.0842,0.0673,0.0646,-0.0027,0.0963,0.2376,0.1413,0.1029,0.2702,0.1673,0.0905,0.1778,0.0873,0.0876,0.0953,0.0077,0.096,0.1074,0.0114,0.0631,0.1736,0.1105,0.0789,0.1305,0.0516,0.0947
1,0.1219,0.3478,0.2259,0.0483,0.0544,0.0061,0.0821,0.0562,-0.0259,0.0821,0.6167,0.5346,0.0733,0.2704,0.1971,0.0588,0.1955,0.1367,0.0913,0.0766,-0.0147,0.1493,0.0615,-0.0878,0.1253,0.0759,-0.0494,0.0992,0.2687,0.1695,0.0715
0,0.0596,0.5295,0.4699,0.0861,0.0623,-0.0238,0.1167,0.1231,0.0064,0.0554,0.2661,0.2107,0.052,0.2602,0.2082,0.0646,0.1894,0.1248,0.0641,0.3561,0.292,0.066,0.0684,0.0024,0.114,0.0665,-0.0475,0.1055,0.3303,0.2248,0.0496
1,0.1111,0.1445,0.0334,0.0546,0.0818,0.0272,0.0948,0.0504,-0.0444,0.0343,0.6547,0.6204,0.0828,0.3585,0.2757,0.0649,0.2074,0.1425,0.0652,0.0925,0.0273,0.1153,0.0462,-0.0691,0.1267,0.0855,-0.0412,0.0903,0.1796,0.0893,0.0905
0,0.0927,0.2111,0.1184,0.061,0.1191,0.0581,0.057,0.246,0.189,0.0705,0.3117,0.2412,0.0628,0.3674,0.3046,0.0842,0.2149,0.1307,0.051,0.2102,0.1592,0.1624,0.041,-0.1214,0.0895,0.4384,0.3489,0.0739,0.2912,0.2173,0.0602
0,0.0847,0.1654,0.0807,0.0869,0.1278,0.0409,0.0887,0.5429,0.4542,0.0747,0.2845,0.2098,0.0726,0.3311,0.2585,0.0727,0.1783,0.1056,0.0855,0.126,0.0405,0.0961,0.1592,0.0631,0.0892,0.2087,0.1195,0.1029,0.2672,0.1643,0.0557
1,0.086,0.3249,0.2389,0.0704,0.1076,0.0372,0.0855,0.1209,0.0354,0.0675,0.2255,0.158,0.0604,0.3131,0.2527,0.0525,0.173,0.1205,0.0926,0.1207,0.0281,0.1401,0.0805,-0.0596,0.1145,0.0794,-0.0351,0.0897,0.2251,0.1354,0.0834
1,0.0697,0.1126,0.0429,0.0501,0.1039,0.0538,0.1097,0.0907,-0.019,0.0641,0.1981,0.134,0.0652,0.2813,0.2161,0.0493,0.191,0.1417,0.0794,0.0961,0.0167,0.113,0.0605,-0.0525,0.1151,0.0699,-0.0452,0.0821,0.1456,0.0635,0.1063
0,0.0908,0.1345,0.0437,0.0969,0.1252,0.0283,0.0755,0.3621,0.2866,0.1217,0.3302,0.2085,0.1095,0.4318,0.3223,0.1088,0.2136,0.1048,0.0869,0.1203,0.0334,0.0937,0.1165,0.0228,0.1233,0.7764,0.6531,0.0958,0.3303,0.2345,0.071
0,0.0897,0.322,0.2323,0.0784,0.1586,0.0802,0.0881,0.2173,0.1292,0.0836,0.2756,0.192,0.0781,0.4967,0.4186,0.0942,0.157,0.0628,0.1103,0.1529,0.0426,0.1127,0.0694,-0.0433,0.1101,0.1913,0.0812,0.1174,0.2325,0.1151,0.0668
1,0.1356,0.2281,0.0925,0.0675,0.1176,0.0501,0.0976,0.1019,0.0043,0.0451,0.193,0.1479,0.0728,0.338,0.2652,0.0665,0.2582,0.1917,0.0325,0.0748,0.0423,0.1243,0.0431,-0.0812,0.1325,0.091,-0.0415,0.1045,0.2065,0.102,0.1021
1,0.0596,0.1355,0.0759,0.0583,0.1029,0.0446,0.115,0.1018,-0.0132,0.0715,0.3273,0.2558,0.0525,0.316,0.2635,0.0414,0.1952,0.1538,0.0723,0.0953,0.023,0.1164,0.0602,-0.0562,0.1188,0.076,-0.0428,0.089,0.1675,0.0785,0.1063
0,0.0758,0.1491,0.0733,0.0557,0.1175,0.0618,0.0744,0.0858,0.0114,0.052,0.4642,0.4122,0.0454,0.3437,0.2983,0.0676,0.2155,0.1479,0.0634,0.0857,0.0223,0.0771,0.1664,0.0893,0.0657,0.3298,0.2641,0.0679,0.2979,0.23,0.0523
1,0.071,0.1295,0.0585,0.0507,0.1085,0.0578,0.0916,0.0831,-0.0085,0.0871,0.2097,0.1226,0.0681,0.2889,0.2208,0.0496,0.1818,0.1322,0.0876,0.1025,0.0149,0.1272,0.0626,-0.0646,0.1259,0.0871,-0.0388,0.0726,0.1693,0.0967,0.0757
1,0.1219,0.1756,0.0537,0.0488,0.0865,0.0377,0.0957,0.0849,-0.0108,0.0572,0.1777,0.1205,0.0633,0.249,0.1857,0.0496,0.1773,0.1277,0.0707,0.0914,0.0207,0.1353,0.0934,-0.0419,0.0916,0.0633,-0.0283,0.0803,0.1562,0.0759,0.0926
0,0.0955,0.1345,0.039,0.0712,0.1886,0.1174,0.0826,0.085,0.0024,0.0768,0.2018,0.125,0.0921,0.2902,0.1981,0.0974,0.2214,0.124,0.0842,0.1028,0.0186,0.0844,0.1082,0.0238,0.0736,0.1664,0.0928,0.106,0.2145,0.1085,0.0968
1,0.1161,0.3484,0.2323,0.0604,0.0631,0.0027,0.0865,0.0588,-0.0277,0.0549,0.1928,0.1379,0.0578,0.2934,0.2356,0.0509,0.1641,0.1132,0.0781,0.1135,0.0354,0.1132,0.0375,-0.0757,0.1153,0.0794,-0.0359,0.09,0.1767,0.0867,0.1105
