class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.0776,0.1912,0.1136,0.0768,0.3622,0.2854,0.0683,0.1229,0.0546,0.0802,1.3534,1.2732,0.1002,0.6316,0.5314,0.105,0.5312,0.4262,0.096,0.1615,0.0655,0.0718,0.1051,0.0333,0.1045,0.1839,0.0794,0.1018,0.2388,0.137,0.0831
0,0.0936,0.1518,0.0582,0.048,0.0871,0.0391,0.0958,0.1093,0.0135,0.0396,0.2171,0.1775,0.0499,0.3232,0.2733,0.0536,0.2148,0.1612,0.0646,0.0863,0.0217,0.1087,0.052,-0.0567,0.1195,0.0902,-0.0293,0.1116,0.2217,0.1101,0.0981
0,0.1084,0.1642,0.0558,0.095,0.1172,0.0222,0.0834,0.1053,0.0219,0.0865,0.2479,0.1614,0.0958,0.4495,0.3537,0.106,0.1285,0.0225,0.0942,0.141,0.0468,0.0815,0.0903,0.0088,0.1084,0.1667,0.0583,0.106,0.1987,0.0927,0.124
1,0.0807,1.5278,1.4471,0.13,0.2107,0.0807,0.0649,0.2079,0.143,0.1445,0.6302,0.4857,0.0878,1.019,0.9312,0.1279,0.3916,0.2637,0.0921,0.4949,0.4028,0.1314,0.3648,0.2334,0.0712,0.8673,0.7961,0.0628,1.3245,1.2617,0.0636
1,0.0923,1.0569,0.9646,0.1176,0.2782,0.1606,0.0741,0.3824,0.3083,0.1111,0.4299,0.3188,0.0892,0.8216,0.7324,0.1427,0.3358,0.1931,0.0892,0.608,0.5188,0.1124,0.3076,0.1952,0.0789,0.6092,0.5303,0.0678,0.6268,0.559,0.0757
1,0.0697,0.4238,0.3541,0.1287,0.2139,0.0852,0.0702,0.5069,0.4367,0.1527,0.8955,0.7428,0.0966,1.4115,1.3149,0.1438,0.8624,0.7186,0.0902,0.6066,0.5164,0.2086,0.5328,0.3242,0.0871,0.6815,0.5944,0.0768,0.9714,0.8946,0.0628
1,0.0836,0.4772,0.3936,0.1316,0.293,0.1614,0.0662,0.2213,0.1551,0.124,0.3186,0.1946,0.0936,0.5043,0.4107,0.1409,0.2725,0.1316,0.0836,0.181,0.0974,0.1385,0.2665,0.128,0.0657,0.3526,0.2869,0.062,0.4725,0.4105,0.0681
0,0.0886,0.131,0.0424,0.0868,0.1243,0.0375,0.0633,0.0852,0.0219,0.0641,0.4069,0.3428,0.081,0.8648,0.7838,0.1367,0.1708,0.0341,0.0947,0.1241,0.0294,0.0958,0.1048,0.009,0.0952,0.1255,0.0303,0.0918,0.2054,0.1136,0.0865
1,0.0765,0.5229,0.4464,0.1103,0.2522,0.1419,0.0894,0.2941,0.2047,0.1393,0.413,0.2737,0.081,0.5376,0.4566,0.1203,0.4162,0.2959,0.0984,0.2298,0.1314,0.1561,0.3094,0.1533,0.0747,0.3455,0.2708,0.0673,0.6703,0.603,0.0813
1,0.1105,0.5442,0.4337,0.1403,0.3608,0.2205,0.1045,0.3696,0.2651,0.1361,0.8544,0.7183,0.0918,0.7485,0.6567,0.1399,1.3519,1.212,0.0942,0.2277,0.1335,0.1783,0.4286,0.2503,0.077,0.6102,0.5332,0.0773,0.7757,0.6984,0.0744
1,0.0749,0.5429,0.468,0.1337,0.2455,0.1118,0.0818,0.2991,0.2173,0.1403,1.42,1.2797,0.0768,0.5209,0.4441,0.1082,0.2309,0.1227,0.0807,0.1913,0.1106,0.1561,0.2653,0.1092,0.0612,0.3204,0.2592,0.0733,0.7939,0.7206,0.0744
1,0.0726,0.7347,0.6621,0.1511,0.3183,0.1672,0.0778,0.3429,0.2651,0.1308,0.336,0.2052,0.115,1.4249,1.3099,0.1401,1.2912,1.1511,0.0995,0.2549,0.1554,0.1991,0.2978,0.0987,0.0815,1.4232,1.3417,0.0699,0.8997,0.8298,0.0905
0,0.1082,0.1548,0.0466,0.0757,0.1454,0.0697,0.1061,0.0739,-0.0322,0.1124,0.1839,0.0715,0.1105,0.2667,0.1562,0.1164,0.1789,0.0625,0.0968,0.1051,0.0083,0.1124,0.1055,-0.0069,0.0742,0.1649,0.0907,0.1258,0.1233,-0.0025,0.1372
1,0.0694,0.4119,0.3425,0.1416,0.2004,0.0588,0.0778,0.1889,0.1111,0.11,0.5027,0.3927,0.119,0.6434,0.5244,0.1796,0.3194,0.1398,0.0902,0.1929,0.1027,0.1762,0.2707,0.0945,0.0728,0.3175,0.2447,0.0755,0.8676,0.7921,0.0784
