class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.0894,0.1363,0.0469,0.0979,0.0799,-0.018,0.0819,0.1173,0.0354,0.1216,0.2461,0.1245,0.1071,0.3761,0.269,0.1126,0.1586,0.046,0.0633,0.1562,0.0929,0.0876,0.0985,0.0109,0.1031,0.1545,0.0514,0.0947,0.199,0.1043,0.0923
0,0.1063,0.1561,0.0498,0.0451,0.1037,0.0586,0.1024,0.0847,-0.0177,0.0438,0.1667,0.1229,0.0652,0.3825,0.3173,0.0464,0.2525,0.2061,0.0876,0.1001,0.0125,0.095,0.0831,-0.0119,0.103,0.0768,-0.0262,0.084,0.168,0.084,0.0971
0,0.0802,0.4019,0.3217,0.1213,0.1485,0.0272,0.0678,0.1812,0.1134,0.1282,0.2883,0.1601,0.1155,0.5597,0.4442,0.1103,0.1689,0.0586,0.0868,0.1626,0.0758,0.1438,0.2454,0.1016,0.0673,0.3985,0.3312,0.0594,0.4554,0.396,0.0689
1,0.1163,0.9733,0.857,0.0559,0.0657,0.0098,0.1192,0.3832,0.264,0.1047,1.0501,0.9454,0.0842,0.4485,0.3643,0.1024,0.299,0.1966,0.1229,0.1119,-0.011,0.1788,0.2941,0.1153,0.1126,0.1859,0.0733,0.0691,0.6254,0.5563,0.1002
1,0.1126,0.929,0.8164,0.0939,0.1963,0.1024,0.1242,0.1862,0.062,0.1134,0.5266,0.4132,0.0599,0.4377,0.3778,0.1169,0.3749,0.258,0.125,0.1678,0.0428,0.1582,0.1535,-0.0047,0.1126,0.1875,0.0749,0.115,0.3,0.185,0.1021
1,0.106,0.3557,0.2497,0.1163,0.2194,0.1031,0.149,0.2237,0.0747,0.1118,0.7297,0.6179,0.0791,0.6944,0.6153,0.0844,0.4204,0.336,0.1171,0.1481,0.031,0.1946,0.1999,0.0053,0.1216,0.2382,0.1166,0.1082,0.3631,0.2549,0.1013
1,0.1198,0.3486,0.2288,0.1234,0.5599,0.4365,0.0878,0.7534,0.6656,0.1155,0.6566,0.5411,0.1021,0.4721,0.37,0.0939,0.2748,0.1809,0.1053,0.1866,0.0813,0.173,0.091,-0.082,0.1261,0.2424,0.1163,0.1187,0.3915,0.2728,0.1092
0,0.0675,0.1136,0.0461,0.0889,0.1177,0.0288,0.0605,0.0541,-0.0064,0.0771,0.2079,0.1308,0.1066,0.3683,0.2617,0.1382,0.1271,-0.0111,0.143,0.1288,-0.0142,0.1288,0.0576,-0.0712,0.1287,0.1234,-0.0053,0.0942,0.1827,0.0885,0.0704
1,0.1034,0.4245,0.3211,0.1066,0.1407,0.0341,0.1229,0.9483,0.8254,0.106,0.6743,0.5683,0.115,0.5162,0.4012,0.0786,0.2902,0.2116,0.0973,0.2424,0.1451,0.2031,0.1243,-0.0788,0.1664,0.1785,0.0121,0.134,0.3161,0.1821,0.1076
1,0.1525,0.2458,0.0933,0.1348,0.1786,0.0438,0.1433,0.124,-0.0193,0.119,1.0557,0.9367,0.0805,0.4174,0.3369,0.076,0.3778,0.3018,0.1279,0.927,0.7991,0.119,0.4999,0.3809,0.1443,0.1163,-0.028,0.1641,0.5411,0.377,0.0979
1,0.1068,0.3414,0.2346,0.1176,0.1216,0.004,0.13,0.2732,0.1432,0.134,0.451,0.317,0.0973,0.7374,0.6401,0.0878,0.4095,0.3217,0.0979,0.2069,0.109,0.2213,0.1651,-0.0562,0.1641,0.2116,0.0475,0.0939,0.2594,0.1655,0.0997
1,0.1082,0.3966,0.2884,0.1182,0.1657,0.0475,0.11,0.196,0.086,0.1393,0.3307,0.1914,0.0842,0.4271,0.3429,0.076,0.3912,0.3152,0.0749,0.2562,0.1813,0.1928,0.1543,-0.0385,0.1187,0.2448,0.1261,0.1108,0.3061,0.1953,0.1042
0,0.0573,0.1174,0.0601,0.0704,0.1327,0.0623,0.1016,0.0689,-0.0327,0.0797,0.1841,0.1044,0.1068,0.2635,0.1567,0.0958,0.1565,0.0607,0.0921,0.1157,0.0236,0.0575,0.0802,0.0227,0.0515,0.158,0.1065,0.1024,0.1226,0.0202,0.125
1,0.1232,0.6297,0.5065,0.1163,0.3481,0.2318,0.0907,0.7442,0.6535,0.1092,0.7896,0.6804,0.0699,0.7245,0.6546,0.0757,0.2894,0.2137,0.114,0.1307,0.0167,0.1857,0.6728,0.4871,0.1111,0.272,0.1609,0.1013,0.29,0.1887,0.1053
0,0.0575,0.1197,0.0622,0.0486,0.1019,0.0533,0.0797,0.0525,-0.0272,0.0402,0.1639,0.1237,0.0261,0.4626,0.4365,0.0549,0.2288,0.1739,0.0628,0.0895,0.0267,0.1093,0.0204,-0.0889,0.1148,0.0926,-0.0222,0.0823,0.1872,0.1049,0.0588
1,0.0934,0.3874,0.294,0.1031,0.135,0.0319,0.1184,0.1588,0.0404,0.0955,0.3555,0.26,0.0794,0.5334,0.454,0.0968,0.4052,0.3084,0.095,0.3939,0.2989,0.1759,0.3672,0.1913,0.0907,0.2537,0.163,0.0936,0.2612,0.1676,0.0981
0,0.0787,0.522,0.4433,0.0755,0.2508,0.1753,0.0436,0.4767,0.4331,0.0599,0.3264,0.2665,0.0486,0.469,0.4204,0.0887,0.222,0.1333,0.0847,0.1159,0.0312,0.1204,0.1469,0.0265,0.0729,0.1782,0.1053,0.0985,0.3348,0.2363,0.0694
0,0.0805,0.1857,0.1052,0.0882,0.1128,0.0246,0.0932,0.1336,0.0404,0.1019,0.2391,0.1372,0.0779,0.3413,0.2634,0.0773,0.1821,0.1048,0.081,0.1339,0.0529,0.0882,0.0869,-0.0013,0.0834,0.1285,0.0451,0.1045,0.2379,0.1334,0.0721
1,0.1163,0.4092,0.2929,0.1293,0.1145,-0.0148,0.1129,0.3495,0.2366,0.1638,0.8576,0.6938,0.0987,0.5165,0.4178,0.0807,0.264,0.1833,0.1082,0.1225,0.0143,0.1915,0.1414,-0.0501,0.2003,0.1543,-0.046,0.1391,0.3072,0.1681,0.1026
1,0.1045,0.6851,0.5806,0.1076,0.2477,0.1401,0.0931,0.259,0.1659,0.1005,0.4222,0.3217,0.0894,0.5238,0.4344,0.0884,0.3121,0.2237,0.1021,0.1265,0.0244,0.2073,0.1535,-0.0538,0.1216,0.2458,0.1242,0.1126,0.5468,0.4342,0.1242
0,0.0884,0.1654,0.077,0.0779,0.1035,0.0256,0.0898,0.0684,-0.0214,0.0769,0.2107,0.1338,0.123,0.3274,0.2044,0.2157,0.3556,0.1399,0.0839,0.1175,0.0336,0.1386,0.122,-0.0166,0.1114,0.1404,0.029,0.0272,0.2464,0.2192,0.0985
0,0.0834,0.2017,0.1183,0.0939,0.5114,0.4175,0.0963,0.2023,0.106,0.1074,0.5546,0.4472,0.0992,0.4339,0.3347,0.1121,0.1472,0.0351,0.0847,0.2095,0.1248,0.0897,0.1393,0.0496,0.1171,0.2616,0.1445,0.1219,0.2426,0.1207,0.0926
1,0.1008,0.567,0.4662,0.1134,0.1862,0.0728,0.1018,0.2158,0.114,0.1467,0.4534,0.3067,0.0857,0.4068,0.3211,0.1132,0.3068,0.1936,0.1221,0.1415,0.0194,0.211,0.1554,-0.0556,0.1348,0.2427,0.1079,0.1097,0.2655,0.1558,0.0968
1,0.1045,0.3676,0.2631,0.1063,0.1256,0.0193,0.1269,0.2345,0.1076,0.1269,0.3178,0.1909,0.0778,1.1968,1.119,0.0836,0.5617,0.4781,0.1195,0.1955,0.076,0.1755,0.157,-0.0185,0.0943,0.1927,0.0984,0.1277,0.6442,0.5165,0.11
0,0.0927,0.1581,0.0654,0.043,0.1045,0.0615,0.0758,0.0832,0.0074,0.0597,0.4331,0.3734,0.0544,0.3416,0.2872,0.0742,0.175,0.1008,0.0689,0.0629,-0.006,0.0803,0.1031,0.0228,0.062,0.1662,0.1042,0.0668,0.2015,0.1347,0.0502
1,0.106,0.4812,0.3752,0.1285,0.151,0.0225,0.1045,0.1744,0.0699,0.1635,0.615,0.4515,0.0773,0.8997,0.8224,0.0541,0.4073,0.3532,0.1008,0.2773,0.1765,0.186,0.1074,-0.0786,0.1689,0.1316,-0.0373,0.1407,0.4563,0.3156,0.1374
1,0.1092,0.5674,0.4582,0.1361,0.639,0.5029,0.0926,0.3308,0.2382,0.0765,0.491,0.4145,0.0686,0.4862,0.4176,0.076,0.2983,0.2223,0.086,0.3097,0.2237,0.1796,0.1828,0.0032,0.1034,0.2237,0.1203,0.1,0.5759,0.4759,0.1638
0,0.1483,0.1429,-0.0054,0.0979,0.1979,0.1,0.1118,0.1377,0.0259,0.0612,0.1783,0.1171,0.0834,0.2976,0.2142,0.1029,0.2076,0.1047,0.1074,0.1173,0.0099,0.095,0.1206,0.0256,0.0828,0.1941,0.1113,0.0942,0.2183,0.1241,0.0736
1,0.101,0.3881,0.2871,0.1126,0.245,0.1324,0.1179,0.1345,0.0166,0.139,0.4787,0.3397,0.096,0.8993,0.8033,0.0981,0.4592,0.3611,0.1066,0.247,0.1404,0.2013,0.1098,-0.0915,0.1908,0.1554,-0.0354,0.1448,0.3311,0.1863,0.1353
0,0.1111,0.1651,0.054,0.0931,0.0728,-0.0203,0.0768,0.1043,0.0275,0.1166,0.2622,0.1456,0.0963,0.4838,0.3875,0.1111,0.2037,0.0926,0.082,0.1172,0.0352,0.0976,0.1035,0.0059,0.0765,0.1158,0.0393,0.0876,0.1832,0.0956,0.1153
1,0.0876,0.8868,0.7992,0.1287,0.2042,0.0755,0.1124,0.1523,0.0399,0.1261,0.4391,0.313,0.1187,0.4455,0.3268,0.0989,0.287,0.1881,0.1142,0.1256,0.0114,0.2008,0.1425,-0.0583,0.1652,0.1182,-0.047,0.1359,0.3228,0.1869,0.1124
1,0.1031,0.3878,0.2847,0.1047,0.1285,0.0238,0.1031,0.1949,0.0918,0.1008,0.3046,0.2038,0.0818,0.4733,0.3915,0.0665,0.3532,0.2867,0.1105,0.1338,0.0233,0.1564,0.1538,-0.0026,0.1111,0.278,0.1669,0.1021,1.5115,1.4094,0.1198
0,0.0708,0.5505,0.4797,0.057,0.0966,0.0396,0.0663,0.1043,0.038,0.0515,0.4542,0.4027,0.056,0.4169,0.3609,0.0795,0.1782,0.0987,0.0755,0.5073,0.4318,0.0818,0.1262,0.0444,0.0618,0.2125,0.1507,0.0499,0.1934,0.1435,0.0557
1,0.1158,0.4274,0.3116,0.1314,0.1467,0.0153,0.134,0.2034,0.0694,0.1767,0.5058,0.3291,0.0847,0.4394,0.3547,0.1137,0.3614,0.2477,0.135,0.1298,-0.0052,0.1952,0.2491,0.0539,0.1472,0.3044,0.1572,0.0894,0.2591,0.1697,0.0836
0,0.0781,0.2649,0.1868,0.0618,0.1682,0.1064,0.0581,0.161,0.1029,0.0726,0.3085,0.2359,0.0594,0.4698,0.4104,0.0953,0.2468,0.1515,0.07,0.12,0.05,0.1373,0.1653,0.028,0.0636,0.1676,0.104,0.0977,0.3441,0.2464,0.0755
1,0.0984,0.8979,0.7995,0.1229,0.1612,0.0383,0.0823,0.1891,0.1068,0.1071,0.3618,0.2547,0.106,0.3957,0.2897,0.0847,0.3827,0.298,0.086,0.2699,0.1839,0.1599,0.129,-0.0309,0.103,0.271,0.168,0.0931,0.2409,0.1478,0.0989
0,0.1034,0.1643,0.0609,0.0939,0.1021,0.0082,0.0454,0.1034,0.058,0.0377,0.1814,0.1437,0.0884,0.3382,0.2498,0.1329,0.143,0.0101,0.1216,0.0979,-0.0237,0.1038,0.089,-0.0148,0.109,0.1066,-0.0024,0.1018,0.2006,0.0988,0.0939
0,0.1183,0.2204,0.1021,0.0565,0.2035,0.147,0.0518,0.1357,0.0839,0.0591,0.7798,0.7207,0.0494,0.4437,0.3943,0.0473,0.2907,0.2434,0.0351,0.1186,0.0835,0.0681,0.0988,0.0307,0.0578,0.185,0.1272,0.0821,0.2245,0.1424,0.08
1,0.1068,0.3931,0.2863,0.1213,0.2086,0.0873,0.1221,0.2421,0.12,0.1659,0.3724,0.2065,0.0889,0.4545,0.3656,0.1002,0.3721,0.2719,0.0981,0.2999,0.2018,0.1747,0.1554,-0.0193,0.1351,0.2712,0.1361,0.1142,0.4498,0.3356,0.1121
1,0.1158,0.5553,0.4395,0.1382,0.1926,0.0544,0.0897,0.7144,0.6247,0.1332,0.4699,0.3367,0.0805,0.4255,0.345,0.09,0.291,0.201,0.1039,0.1995,0.0956,0.1947,0.1042,-0.0905,0.1855,0.1596,-0.0259,0.1364,0.3776,0.2412,0.0947
1,0.1137,0.5419,0.4282,0.1108,0.1623,0.0515,0.1271,0.2123,0.0852,0.115,0.4019,0.2869,0.076,0.3949,0.3189,0.0871,0.4265,0.3394,0.0981,0.2116,0.1135,0.1569,0.158,0.0011,0.1105,0.2463,0.1358,0.1132,0.313,0.1998,0.0973
1,0.1292,0.4952,0.366,0.1087,0.1356,0.0269,0.1419,0.2912,0.1493,0.1132,0.562,0.4488,0.0813,1.0349,0.9536,0.0849,0.3208,0.2359,0.1546,0.1211,-0.0335,0.2127,0.2969,0.0842,0.1715,0.168,-0.0035,0.1715,0.6695,0.498,0.1184
1,0.1103,0.3969,0.2866,0.1535,0.211,0.0575,0.1343,0.3645,0.2302,0.1277,0.5736,0.4459,0.0926,1.1818,1.0892,0.0907,0.4225,0.3318,0.0987,0.2452,0.1465,0.182,0.1282,-0.0538,0.0961,0.2915,0.1954,0.1031,0.4727,0.3696,0.1187
0,0.0902,0.4184,0.3282,0.1034,0.0778,-0.0256,0.071,0.1417,0.0707,0.0607,0.2113,0.1506,0.0591,0.4661,0.407,0.0789,0.32,0.2411,0.0865,0.1314,0.0449,0.1089,0.1187,0.0098,0.0689,0.1702,0.1013,0.1039,0.3393,0.2354,0.0831
1,0.1311,0.4612,0.3301,0.1076,0.2535,0.1459,0.1248,0.2825,0.1577,0.0955,0.6743,0.5788,0.0876,1.1272,1.0396,0.0982,0.3778,0.2796,0.1155,0.2229,0.1074,0.1936,0.1467,-0.0469,0.1324,0.3547,0.2223,0.1045,0.424,0.3195,0.0968
1,0.1221,0.3834,0.2613,0.1356,0.2087,0.0731,0.1324,0.1417,0.0093,0.1606,0.4496,0.289,0.0849,0.4175,0.3326,0.0913,0.3645,0.2732,0.0944,0.2211,0.1267,0.1556,0.2037,0.0481,0.0929,0.2532,0.1603,0.0878,0.2694,0.1816,0.0834
0,0.0847,0.2535,0.1688,0.0961,0.1811,0.085,0.1082,0.1549,0.0467,0.1106,0.2602,0.1496,0.1264,0.4495,0.3231,0.1436,0.2389,0.0953,0.1214,0.2141,0.0927,0.1296,0.1365,0.0069,0.0937,0.2299,0.1362,0.1024,0.3438,0.2414,0.0905
1,0.1269,0.3723,0.2454,0.1316,0.13,-0.0016,0.1237,0.1667,0.043,0.1651,0.3742,0.2091,0.0989,0.8052,0.7063,0.0778,0.3419,0.2641,0.0852,0.3527,0.2675,0.1817,0.1957,0.014,0.1134,0.3088,0.1954,0.1018,0.2605,0.1587,0.1031
0,0.0789,0.1519,0.073,0.0507,0.1624,0.1117,0.0562,0.0855,0.0293,0.0607,0.414,0.3533,0.0399,0.3717,0.3318,0.0372,0.2639,0.2267,0.0489,0.0854,0.0365,0.089,0.154,0.065,0.0589,0.2075,0.1486,0.0884,0.254,0.1656,0.0715
1,0.1089,0.4371,0.3282,0.0997,0.1198,0.0201,0.134,0.9407,0.8067,0.1266,0.5659,0.4393,0.0929,0.439,0.3461,0.1,0.3177,0.2177,0.086,0.4909,0.4049,0.1517,0.2509,0.0992,0.1213,0.3025,0.1812,0.0823,0.3831,0.3008,0.0894
1,0.12,0.3161,0.1961,0.1074,0.1309,0.0235,0.0768,0.1319,0.0551,0.1535,1.4522,1.2987,0.1018,0.6122,0.5104,0.1074,0.3037,0.1963,0.1147,0.1264,0.0117,0.1947,0.1591,-0.0356,0.1451,0.3255,0.1804,0.1042,0.2776,0.1734,0.1042
1,0.1,0.6801,0.5801,0.1103,0.1881,0.0778,0.0929,0.1931,0.1002,0.1097,0.5345,0.4248,0.1079,0.4226,0.3147,0.1366,0.3856,0.249,0.1216,0.2393,0.1177,0.1875,0.1849,-0.0026,0.1361,0.1757,0.0396,0.1105,0.2615,0.151,0.1111
1,0.1153,0.4211,0.3058,0.1205,0.1385,0.018,0.1113,0.2522,0.1409,0.0878,0.7236,0.6358,0.0947,0.4582,0.3635,0.1068,0.2846,0.1778,0.1092,0.1417,0.0325,0.185,0.1222,-0.0628,0.1687,0.1201,-0.0486,0.1638,0.3966,0.2328,0.1111
1,0.119,0.4504,0.3314,0.1205,0.1975,0.077,0.1024,0.2113,0.1089,0.1263,0.8035,0.6772,0.1213,0.908,0.7867,0.0836,0.5137,0.4301,0.1232,0.1892,0.066,0.1596,0.1195,-0.0401,0.1095,0.2495,0.14,0.1134,0.3061,0.1927,0.1021
1,0.1237,0.4667,0.343,0.1448,0.2084,0.0636,0.1731,0.1559,-0.0172,0.1269,0.3932,0.2663,0.0823,0.3852,0.3029,0.0857,0.4156,0.3299,0.0396,0.1884,0.1488,0.2155,0.157,-0.0585,0.1089,0.2199,0.111,0.1113,0.3266,0.2153,0.1137
0,0.0892,0.1063,0.0171,0.0694,0.1812,0.1118,0.091,0.2751,0.1841,0.1158,0.5092,0.3934,0.0512,0.2823,0.2311,0.0892,0.1908,0.1016,0.0826,0.0668,-0.0158,0.0926,0.1056,0.013,0.0773,0.1591,0.0818,0.1002,0.2217,0.1215,0.0973
1,0.0958,0.3544,0.2586,0.1129,0.6053,0.4924,0.0834,0.2229,0.1395,0.1427,0.7395,0.5968,0.0712,0.5916,0.5204,0.0773,0.3682,0.2909,0.1058,0.2881,0.1823,0.183,0.1361,-0.0469,0.1617,0.1363,-0.0254,0.1222,0.5891,0.4669,0.1184
0,0.0781,0.1213,0.0432,0.09,0.1233,0.0333,0.0367,0.0505,0.0138,0.0884,0.2407,0.1523,0.1169,0.3294,0.2125,0.0859,0.1983,0.1124,0.065,0.1495,0.0845,0.1062,0.0621,-0.0441,0.1202,0.0726,-0.0476,0.1212,0.5423,0.4211,0.1119
1,0.1184,0.3818,0.2634,0.129,0.1702,0.0412,0.1298,0.2124,0.0826,0.1277,0.3682,0.2405,0.0878,0.403,0.3152,0.0826,0.3176,0.235,0.1343,0.166,0.0317,0.1808,0.1528,-0.028,0.0921,0.2084,0.1163,0.1082,0.2626,0.1544,0.095
0,0.0911,0.338,0.2469,0.0731,0.1708,0.0977,0.0758,0.3429,0.2671,0.0715,0.3499,0.2784,0.0618,0.387,0.3252,0.0903,0.2796,0.1893,0.071,0.1014,0.0304,0.1729,0.2133,0.0404,0.075,0.2101,0.1351,0.0478,0.2696,0.2218,0.0589
0,0.101,0.1756,0.0746,0.0807,0.1045,0.0238,0.0562,0.1372,0.081,0.0939,0.5061,0.4122,0.0604,0.3337,0.2733,0.0968,0.1633,0.0665,0.0744,0.1375,0.0631,0.1111,0.0934,-0.0177,0.0613,0.1272,0.0659,0.1145,0.2183,0.1038,0.1155
0,0.09,0.0947,0.0047,0.1179,0.1251,0.0072,0.0876,0.0836,-0.004,0.1153,0.1762,0.0609,0.1105,0.2213,0.1108,0.1059,0.0869,-0.019,0.0829,0.1289,0.046,0.1161,0.0536,-0.0625,0.0678,0.1825,0.1147,0.1087,0.094,-0.0147,0.1087
0,0.0486,0.4686,0.42,0.0586,0.1391,0.0805,0.0475,0.3919,0.3444,0.0493,0.3299,0.2806,0.0428,0.5629,0.5201,0.0327,0.5792,0.5465,0.0359,0.238,0.2021,0.0581,0.3825,0.3244,0.0422,0.5337,0.4915,0.0409,0.5389,0.498,0.0441
1,0.1227,0.3441,0.2214,0.1071,0.1493,0.0422,0.106,0.3349,0.2289,0.153,0.73,0.577,0.0731,0.5698,0.4967,0.0839,0.3472,0.2633,0.1124,0.16,0.0476,0.1765,0.2884,0.1119,0.1097,0.3012,0.1915,0.0823,0.2655,0.1832,0.1084
0,0.0918,0.1366,0.0448,0.0989,0.1319,0.033,0.0675,0.0736,0.0061,0.0728,0.2492,0.1764,0.0472,0.3263,0.2791,0.1287,0.1266,-0.0021,0.11,0.1312,0.0212,0.1027,0.0792,-0.0235,0.1264,0.1224,-0.004,0.0952,0.1832,0.088,0.0715
0,0.1129,0.3167,0.2038,0.0878,0.0931,0.0053,0.077,0.1116,0.0346,0.0773,0.2316,0.1543,0.0594,0.454,0.3946,0.0694,0.3912,0.3218,0.0884,0.142,0.0536,0.1021,0.1283,0.0262,0.0689,0.1712,0.1023,0.0973,0.3944,0.2971,0.081
1,0.0921,0.36,0.2679,0.1205,0.1569,0.0364,0.11,0.1533,0.0433,0.1786,0.3967,0.2181,0.0723,0.3818,0.3095,0.1005,0.3305,0.23,0.1097,0.143,0.0333,0.1646,0.1443,-0.0203,0.0976,0.2076,0.11,0.1111,0.3196,0.2085,0.0878
0,0.1412,0.1931,0.0519,0.15,0.1291,-0.0209,0.1624,0.1638,0.0014,0.1254,0.3085,0.1831,0.1088,0.3155,0.2067,0.146,0.1722,0.0262,0.1499,0.1299,-0.02,0.132,0.0956,-0.0364,0.147,0.1079,-0.0391,0.1383,0.4311,0.2928,0.1779
