class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.0942,0.1917,0.0975,0.0979,0.0905,-0.0074,0.0728,0.1042,0.0314,0.0952,0.3594,0.2642,0.0889,0.4395,0.3506,0.096,0.2221,0.1261,0.0813,0.2288,0.1475,0.0715,0.1277,0.0562,0.0881,0.1546,0.0665,0.0789,0.1798,0.1009,0.1024
0,0.0997,0.154,0.0543,0.0778,0.129,0.0512,0.1034,0.1013,-0.0021,0.0549,0.3197,0.2648,0.081,0.3582,0.2772,0.047,0.1913,0.1443,0.0881,0.1119,0.0238,0.0786,0.1973,0.1187,0.1751,0.2273,0.0522,0.1118,0.3018,0.19,0.1111
0,0.0926,0.7987,0.7061,0.1343,0.2013,0.067,0.0741,0.2094,0.1353,0.1298,0.8985,0.7687,0.1111,0.7027,0.5916,0.1197,0.2998,0.1801,0.0852,0.1699,0.0847,0.1401,0.233,0.0929,0.072,0.3505,0.2785,0.0675,0.4595,0.392,0.0773
1,0.1145,0.0767,-0.0378,0.0844,0.1984,0.114,0.086,0.0646,-0.0214,0.0953,0.4505,0.3552,0.0831,0.3123,0.2292,0.077,0.1907,0.1137,0.0968,0.1067,0.0099,0.1089,0.1836,0.0747,0.0995,0.1694,0.0699,0.1329,0.2683,0.1354,0.1095
1,0.1322,0.1622,0.03,0.0364,0.1535,0.1171,0.1063,0.2247,0.1184,0.091,0.5251,0.4341,0.071,0.2949,0.2239,0.0805,0.204,0.1235,0.1021,0.1,-0.0021,0.0887,0.1932,0.1045,0.1153,0.2216,0.1063,0.1496,0.2792,0.1296,0.0958
1,0.1185,0.0785,-0.04,0.0798,0.1703,0.0905,0.076,0.0525,-0.0235,0.1179,0.4109,0.293,0.0871,0.3617,0.2746,0.0836,0.2302,0.1466,0.0892,0.0943,0.0051,0.1147,0.1633,0.0486,0.0878,0.3009,0.2131,0.1256,0.2537,0.1281,0.1087
1,0.1116,0.0893,-0.0223,0.0718,0.1647,0.0929,0.0757,0.0546,-0.0211,0.1082,0.4212,0.313,0.0726,0.2919,0.2193,0.0952,0.1739,0.0787,0.0968,0.1309,0.0341,0.0981,0.1404,0.0423,0.0868,0.1841,0.0973,0.1416,0.825,0.6834,0.1561
0,0.0744,0.1068,0.0324,0.0881,0.1222,0.0341,0.0522,0.0878,0.0356,0.0636,0.4483,0.3847,0.091,0.416,0.325,0.1043,0.1029,-0.0014,0.0858,0.084,-0.0018,0.1061,0.0868,-0.0193,0.1016,0.1992,0.0976,0.0259,0.1759,0.15,0.0786
1,0.1227,0.1675,0.0448,0.0813,0.1359,0.0546,0.0744,0.0892,0.0148,0.0944,0.3346,0.2402,0.076,0.3148,0.2388,0.08,0.1866,0.1066,0.1029,0.1339,0.031,0.0971,0.1375,0.0404,0.0784,0.2161,0.1377,0.1261,0.2644,0.1383,0.09
1,0.0873,0.5221,0.4348,0.0884,0.113,0.0246,0.0591,0.1264,0.0673,0.0834,1.0451,0.9617,0.0654,0.3946,0.3292,0.0863,1.6994,1.6131,0.0784,0.1671,0.0887,0.1308,0.5367,0.4059,0.0878,0.1909,0.1031,0.1187,0.2634,0.1447,0.066
1,0.1328,0.0907,-0.0421,0.0811,0.1832,0.1021,0.0866,0.0483,-0.0383,0.1098,0.4444,0.3346,0.0857,0.3289,0.2432,0.1074,0.185,0.0776,0.0939,0.1328,0.0389,0.1042,0.142,0.0378,0.0852,0.2155,0.1303,0.1477,0.3364,0.1887,0.082
1,0.1029,0.0788,-0.0241,0.0863,0.1868,0.1005,0.0686,0.0591,-0.0095,0.0876,0.4476,0.36,0.086,0.3388,0.2528,0.0942,0.1692,0.075,0.0944,0.1164,0.022,0.0923,0.1214,0.0291,0.0791,0.1411,0.062,0.1561,0.3374,0.1813,0.0955
0,0.0752,0.1811,0.1059,0.077,0.1564,0.0794,0.0654,0.0778,0.0124,0.0849,0.2041,0.1192,0.1055,0.2946,0.1891,0.0977,0.1877,0.09,0.0939,0.0755,-0.0184,0.0963,0.1399,0.0436,0.0517,0.153,0.1013,0.1293,0.1273,-0.002,0.1148
1,0.1287,0.1305,0.0018,0.0828,0.1627,0.0799,0.0958,0.2113,0.1155,0.0942,0.2915,0.1973,0.1042,0.4063,0.3021,0.0944,0.2387,0.1443,0.1008,0.1059,0.0051,0.0871,0.1344,0.0473,0.0915,0.1569,0.0654,0.1322,0.4715,0.3393,0.1161
0,0.1234,0.2876,0.1642,0.0499,0.0832,0.0333,0.0699,0.1182,0.0483,0.033,0.4304,0.3974,0.0573,0.3309,0.2736,0.0486,0.2839,0.2353,0.1424,0.1913,0.0489,0.1266,0.0644,-0.0622,0.1095,0.0799,-0.0296,0.1042,0.2505,0.1463,0.0842
1,0.1132,0.2479,0.1347,0.0752,0.0879,0.0127,0.0794,0.1493,0.0699,0.1034,0.4452,0.3418,0.0749,0.3708,0.2959,0.0918,0.1774,0.0856,0.0936,0.1351,0.0415,0.1103,0.1992,0.0889,0.0755,0.1744,0.0989,0.1221,0.2665,0.1444,0.1145
0,0.1035,0.2715,0.168,0.1059,0.164,0.0581,0.0697,0.1291,0.0594,0.0781,0.3536,0.2755,0.0721,0.5471,0.475,0.1204,0.5453,0.4249,0.0971,0.189,0.0919,0.1436,0.1386,-0.005,0.0861,0.1634,0.0773,0.1088,0.4826,0.3738,0.0998
0,0.0803,0.1998,0.1195,0.0755,0.1151,0.0396,0.0824,0.1289,0.0465,0.0779,0.1761,0.0982,0.0718,0.3179,0.2461,0.0768,0.1576,0.0808,0.0874,0.1495,0.0621,0.0971,0.1294,0.0323,0.066,0.1797,0.1137,0.1241,0.2699,0.1458,0.1111
1,0.1068,0.1263,0.0195,0.0694,0.1275,0.0581,0.0654,0.0966,0.0312,0.0923,0.3141,0.2218,0.0665,0.3113,0.2448,0.0844,0.1662,0.0818,0.0907,0.1127,0.022,0.0834,0.1452,0.0618,0.066,0.1657,0.0997,0.1303,0.2563,0.126,0.106
