class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.0718,0.2081,0.1363,0.0936,0.4204,0.3268,0.0712,0.1564,0.0852,0.0823,0.6055,0.5232,0.0955,0.3996,0.3041,0.0997,0.2537,0.154,0.0697,0.1547,0.085,0.0815,0.1145,0.033,0.0997,0.2732,0.1735,0.1205,0.3482,0.2277,0.1124
0,0.0997,0.154,0.0543,0.0778,0.129,0.0512,0.1034,0.1013,-0.0021,0.0549,0.3197,0.2648,0.081,0.3582,0.2772,0.047,0.1913,0.1443,0.0881,0.1119,0.0238,0.0786,0.1973,0.1187,0.1751,0.2273,0.0522,0.1118,0.3018,0.19,0.1111
0,0.1002,0.2323,0.1321,0.0943,0.0871,-0.0072,0.0742,0.2775,0.2033,0.0926,0.3465,0.2539,0.0744,0.3545,0.2801,0.0826,0.1181,0.0355,0.0784,0.1463,0.0679,0.0849,0.1087,0.0238,0.086,0.3239,0.2379,0.0704,0.199,0.1286,0.1089
1,0.0718,1.0667,0.9949,0.1232,0.1915,0.0683,0.0757,0.2759,0.2002,0.1161,0.537,0.4209,0.1118,0.9959,0.8841,0.1139,0.2479,0.134,0.0971,0.1689,0.0718,0.1443,0.2266,0.0823,0.0733,0.3518,0.2785,0.0623,0.4986,0.4363,0.0784
1,0.0907,0.3245,0.2338,0.1277,0.1992,0.0715,0.086,0.24,0.154,0.1163,0.3637,0.2474,0.0799,0.5154,0.4355,0.1229,0.2936,0.1707,0.0944,0.4906,0.3962,0.1751,0.2814,0.1063,0.0918,1.1572,1.0654,0.0868,0.9118,0.825,0.0623
1,0.072,0.4941,0.4221,0.1205,0.1743,0.0538,0.0654,0.4618,0.3964,0.1261,0.4478,0.3217,0.0923,1.3414,1.2491,0.1404,0.493,0.3526,0.1037,0.1819,0.0782,0.1414,0.2385,0.0971,0.0741,0.7531,0.679,0.0886,0.603,0.5144,0.0873
1,0.0926,0.7987,0.7061,0.1343,0.2013,0.067,0.0741,0.2094,0.1353,0.1298,0.8985,0.7687,0.1111,0.7027,0.5916,0.1197,0.2998,0.1801,0.0852,0.1699,0.0847,0.1401,0.233,0.0929,0.072,0.3505,0.2785,0.0675,0.4595,0.392,0.0773
0,0.0744,0.1068,0.0324,0.0881,0.1222,0.0341,0.0522,0.0878,0.0356,0.0636,0.4483,0.3847,0.091,0.416,0.325,0.1043,0.1029,-0.0014,0.0858,0.084,-0.0018,0.1061,0.0868,-0.0193,0.1016,0.1992,0.0976,0.0259,0.1759,0.15,0.0786
1,0.0889,0.4034,0.3145,0.1237,0.2297,0.106,0.0886,0.3893,0.3007,0.1445,0.9554,0.8109,0.0884,0.7577,0.6693,0.1327,0.6686,0.5359,0.1113,0.2266,0.1153,0.1364,0.2185,0.0821,0.0694,0.3676,0.2982,0.0865,0.6072,0.5207,0.0781
1,0.1058,0.424,0.3182,0.1116,0.5499,0.4383,0.0947,0.7703,0.6756,0.1192,1.9132,1.794,0.0604,1.0607,1.0003,0.0836,1.0702,0.9866,0.0981,0.2715,0.1734,0.1427,0.6573,0.5146,0.0923,0.6392,0.5469,0.0694,0.8731,0.8037,0.0847
