user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s002,1,fixed,0.8,0.4996,0.0008,1.0
s002,2,fixed,0.8,0.4996,0.0008,1.0
s002,3,fixed,0.8,0.5,0.0,1.0
s002,4,fixed,0.8,0.4998,0.0004,1.0
s002,5,fixed,0.8,0.499,0.002,1.0
s002,6,fixed,0.8,0.5078,0.0044,0.98
s002,7,fixed,0.8,0.4846,0.0308,1.0
s003,1,fixed,0.8,0.5546,0.0108,0.88
s003,2,fixed,0.8,0.5198,0.0204,0.94
s003,3,fixed,0.8,0.5476,0.0048,0.9
s003,4,fixed,0.8,0.5,0.0,1.0
s003,5,fixed,0.8,0.5,0.0,1.0
s003,6,fixed,0.8,0.5,0.0,1.0
s003,7,fixed,0.8,0.5,0.0,1.0
s004,1,fixed,0.8,0.5068,0.0064,0.98
s004,2,fixed,0.8,0.5466,0.0068,0.9
s004,3,fixed,0.8,0.495,0.01,1.0
s004,4,fixed,0.8,0.5,0.0,1.0
s004,5,fixed,0.8,0.4998,0.0004,1.0
s004,6,fixed,0.8,0.4874,0.0252,1.0
s004,7,fixed,0.8,0.5,0.0,1.0
s005,1,fixed,0.8,0.5,0.0,1.0
s005,2,fixed,0.8,0.4954,0.0092,1.0
s005,3,fixed,0.8,0.4984,0.0032,1.0
s005,4,fixed,0.8,0.4986,0.0028,1.0
s005,5,fixed,0.8,0.4958,0.0084,1.0
s005,6,fixed,0.8,0.4918,0.0164,1.0
s005,7,fixed,0.8,0.4996,0.0008,1.0
s007,1,fixed,0.8,0.5038,0.0124,0.98
s007,2,fixed,0.8,0.5,0.0,1.0
s007,3,fixed,0.8,0.4998,0.0004,1.0
s007,4,fixed,0.8,0.4962,0.0076,1.0
s007,5,fixed,0.8,0.491,0.018,1.0
s007,6,fixed,0.8,0.5204,0.0192,0.94
s007,7,fixed,0.8,0.4984,0.0032,1.0
s008,1,fixed,0.8,0.4944,0.0112,1.0
s008,2,fixed,0.8,0.5092,0.0216,0.96
s008,3,fixed,0.8,0.5,0.0,1.0
s008,4,fixed,0.8,0.5018,0.0164,0.98
s008,5,fixed,0.8,0.5,0.0,1.0
s008,6,fixed,0.8,0.499,0.002,1.0
s008,7,fixed,0.8,0.5408000000000001,0.0184,0.9
s010,1,fixed,0.8,0.529,0.002,0.94
s010,2,fixed,0.8,0.5262,0.0076,0.94
s010,3,fixed,0.8,0.519,0.002,0.96
s010,4,fixed,0.8,0.49920000000000003,0.0216,0.98
s010,5,fixed,0.8,0.4948,0.0104,1.0
s010,6,fixed,0.8,0.4972,0.0056,1.0
s010,7,fixed,0.8,0.4992,0.0016,1.0
s011,1,fixed,0.8,0.5771999999999999,0.0056,0.84
s011,2,fixed,0.8,0.4922,0.0156,1.0
s011,3,fixed,0.8,0.509,0.002,0.98
s011,4,fixed,0.8,0.4978,0.0244,0.98
s011,5,fixed,0.8,0.6852,0.0096,0.62
s011,6,fixed,0.8,0.5,0.0,1.0
s011,7,fixed,0.8,0.5168,0.0064,0.96
s012,1,fixed,0.8,0.5,0.0,1.0
s012,2,fixed,0.8,0.8246,0.0108,0.34
s012,3,fixed,0.8,0.4958,0.0084,1.0
s012,4,fixed,0.8,0.4986,0.0028,1.0
s012,5,fixed,0.8,0.5,0.0,1.0
s012,6,fixed,0.8,0.5078,0.0044,0.98
s012,7,fixed,0.8,0.5386,0.0028,0.92
s013,1,fixed,0.8,0.5,0.0,1.0
s013,2,fixed,0.8,0.5,0.0,1.0
s013,3,fixed,0.8,0.4884,0.0232,1.0
s013,4,fixed,0.8,0.4966,0.0068,1.0
s013,5,fixed,0.8,0.4994,0.0012,1.0
s013,6,fixed,0.8,0.509,0.002,0.98
s013,7,fixed,0.8,0.488,0.044,0.98
s015,1,fixed,0.8,0.4968,0.0064,1.0
s015,2,fixed,0.8,0.502,0.016,0.98
s015,3,fixed,0.8,0.4936,0.0128,1.0
s015,4,fixed,0.8,0.4992,0.0016,1.0
s015,5,fixed,0.8,0.5,0.0,1.0
s015,6,fixed,0.8,0.5136,0.0128,0.96
s015,7,fixed,0.8,0.5,0.0,1.0
s016,1,fixed,0.8,0.4976,0.0048,1.0
s016,2,fixed,0.8,0.5,0.0,1.0
s016,3,fixed,0.8,0.5,0.0,1.0
s016,4,fixed,0.8,0.4998,0.0004,1.0
s016,5,fixed,0.8,0.5184,0.0032,0.96
s016,6,fixed,0.8,0.5,0.0,1.0
s016,7,fixed,0.8,0.5634,0.0132,0.86
s017,1,fixed,0.8,0.4846,0.0308,1.0
s017,2,fixed,0.8,0.4994,0.0012,1.0
s017,3,fixed,0.8,0.5095999999999999,0.0008,0.98
s017,4,fixed,0.8,0.4968,0.0064,1.0
s017,5,fixed,0.8,0.5,0.0,1.0
