class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.1219,0.2133,0.0914,0.0802,0.0744,-0.0058,0.0828,0.1198,0.037,0.0929,0.2482,0.1553,0.0892,0.4258,0.3366,0.0842,0.1359,0.0517,0.0865,0.1668,0.0803,0.0918,0.0905,-0.0013,0.0937,0.1638,0.0701,0.0907,0.1934,0.1027,0.1153
0,0.0936,0.1518,0.0582,0.048,0.0871,0.0391,0.0958,0.1093,0.0135,0.0396,0.2171,0.1775,0.0499,0.3232,0.2733,0.0536,0.2148,0.1612,0.0646,0.0863,0.0217,0.1087,0.052,-0.0567,0.1195,0.0902,-0.0293,0.1116,0.2217,0.1101,0.0981
0,0.0836,0.4772,0.3936,0.1316,0.293,0.1614,0.0662,0.2213,0.1551,0.124,0.3186,0.1946,0.0936,0.5043,0.4107,0.1409,0.2725,0.1316,0.0836,0.181,0.0974,0.1385,0.2665,0.128,0.0657,0.3526,0.2869,0.062,0.4725,0.4105,0.0681
1,0.0734,0.1723,0.0989,0.0444,0.1175,0.0731,0.0444,0.0795,0.0351,0.0591,0.4694,0.4103,0.0518,0.3667,0.3149,0.0589,0.2191,0.1602,0.0494,0.1764,0.127,0.0774,0.0904,0.013,0.0512,0.2222,0.171,0.0847,0.2282,0.1435,0.0766
1,0.0729,0.1433,0.0704,0.0539,0.1302,0.0763,0.0528,0.0832,0.0304,0.0673,0.4779,0.4106,0.0515,0.4062,0.3547,0.0512,0.251,0.1998,0.0438,0.1276,0.0838,0.0752,0.1138,0.0386,0.0491,0.2058,0.1567,0.0731,0.2036,0.1305,0.0726
1,0.0708,0.2119,0.1411,0.0454,0.127,0.0816,0.0565,0.0824,0.0259,0.0663,0.4935,0.4272,0.052,0.3384,0.2864,0.0512,0.241,0.1898,0.0486,0.1276,0.079,0.0668,0.1231,0.0563,0.0636,0.2921,0.2285,0.0726,0.2253,0.1527,0.065
1,0.081,0.1883,0.1073,0.0692,0.2099,0.1407,0.0586,0.1246,0.066,0.0636,0.6254,0.5618,0.0478,0.392,0.3442,0.0512,0.2634,0.2122,0.0555,0.1778,0.1223,0.0771,0.1017,0.0246,0.0615,0.2694,0.2079,0.0623,0.544,0.4817,0.071
0,0.0454,0.332,0.2866,0.0602,0.1248,0.0646,0.0538,0.1369,0.0831,0.0509,0.197,0.1461,0.0581,0.3229,0.2648,0.0955,0.1907,0.0952,0.0588,0.1312,0.0724,0.0464,0.091,0.0446,0.061,0.1604,0.0994,0.0625,0.2976,0.2351,0.0728
1,0.0755,0.2092,0.1337,0.061,0.1653,0.1043,0.0504,0.0913,0.0409,0.0676,0.5882,0.5206,0.0544,0.3793,0.3249,0.0518,0.2648,0.213,0.046,0.1279,0.0819,0.0605,0.0843,0.0238,0.0586,0.228,0.1694,0.0861,0.319,0.2329,0.0657
1,0.0818,0.3583,0.2765,0.0473,0.2181,0.1708,0.0605,0.2479,0.1874,0.0605,0.8392,0.7787,0.0499,0.5884,0.5385,0.061,0.3043,0.2433,0.0502,0.2242,0.174,0.0755,0.1207,0.0452,0.0597,0.2157,0.156,0.0626,0.5193,0.4567,0.0314
