user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s002,1,fixed,0.5,0.5,1.0,0.0
s002,2,fixed,0.5,0.7432,0.5136,0.0
s002,3,fixed,0.5,0.6506000000000001,0.6988,0.0
s002,4,fixed,0.5,0.5,1.0,0.0
s002,5,fixed,0.5,0.5,1.0,0.0
s002,6,fixed,0.5,0.7124,0.5752,0.0
s002,7,fixed,0.5,0.5004,0.9992,0.0
s003,1,fixed,0.5,0.5,1.0,0.0
s003,2,fixed,0.5,0.5002,0.9996,0.0
s003,3,fixed,0.5,0.5434,0.9132,0.0
s003,4,fixed,0.5,0.5,1.0,0.0
s003,5,fixed,0.5,0.5,1.0,0.0
s003,6,fixed,0.5,0.5,1.0,0.0
s003,7,fixed,0.5,0.5,1.0,0.0
s004,1,fixed,0.5,0.5,1.0,0.0
s004,2,fixed,0.5,0.5,1.0,0.0
s004,3,fixed,0.5,0.523,0.954,0.0
s004,4,fixed,0.5,0.5,1.0,0.0
s004,5,fixed,0.5,0.5022,0.9956,0.0
s004,6,fixed,0.5,0.6344,0.7312,0.0
s004,7,fixed,0.5,0.5,1.0,0.0
s005,1,fixed,0.5,0.5,1.0,0.0
s005,2,fixed,0.5,0.5,1.0,0.0
s005,3,fixed,0.5,0.5466,0.9068,0.0
s005,4,fixed,0.5,0.5,1.0,0.0
s005,5,fixed,0.5,0.5212,0.9576,0.0
s005,6,fixed,0.5,0.5,1.0,0.0
s005,7,fixed,0.5,0.5228,0.9544,0.0
s007,1,fixed,0.5,0.5084,0.9832,0.0
s007,2,fixed,0.5,0.5,1.0,0.0
s007,3,fixed,0.5,0.5,1.0,0.0
s007,4,fixed,0.5,0.5,1.0,0.0
s007,5,fixed,0.5,0.816,0.308,0.06
s007,6,fixed,0.5,0.501,0.998,0.0
s007,7,fixed,0.5,0.5004,0.9992,0.0
s008,1,fixed,0.5,0.5002,0.9996,0.0
s008,2,fixed,0.5,0.5,1.0,0.0
s008,3,fixed,0.5,0.6402,0.6996,0.02
s008,4,fixed,0.5,0.5008,0.9984,0.0
s008,5,fixed,0.5,0.5,1.0,0.0
s008,6,fixed,0.5,0.5452,0.8296,0.08
s008,7,fixed,0.5,0.5,1.0,0.0
