user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s002,1,fixed,0.8,0.4986,0.0028,1.0
s002,2,fixed,0.8,0.4944,0.0112,1.0
s002,3,fixed,0.8,0.4948,0.0104,1.0
s002,4,fixed,0.8,0.4986,0.0028,1.0
s002,5,fixed,0.8,0.4974,0.0052,1.0
s002,6,fixed,0.8,0.4898,0.0204,1.0
s002,7,fixed,0.8,0.5,0.0,1.0
s003,1,fixed,0.8,0.496,0.008,1.0
s003,2,fixed,0.8,0.4912,0.0176,1.0
s003,3,fixed,0.8,0.5292,0.0016,0.94
s003,4,fixed,0.8,0.5551999999999999,0.0096,0.88
s003,5,fixed,0.8,0.5741999999999999,0.0116,0.84
s003,6,fixed,0.8,0.5396,0.0008,0.92
s003,7,fixed,0.8,0.5198,0.0004,0.96
s004,1,fixed,0.8,0.4986,0.0028,1.0
s004,2,fixed,0.8,0.5098,0.0004,0.98
s004,3,fixed,0.8,0.49,0.02,1.0
s004,4,fixed,0.8,0.4946,0.0108,1.0
s004,5,fixed,0.8,0.5128,0.0144,0.96
s004,6,fixed,0.8,0.5,0.0,1.0
s004,7,fixed,0.8,0.5074,0.0052,0.98
s005,1,fixed,0.8,0.499,0.022,0.98
s005,2,fixed,0.8,0.4952,0.0096,1.0
s005,3,fixed,0.8,0.49,0.02,1.0
s005,4,fixed,0.8,0.4984,0.0032,1.0
s005,5,fixed,0.8,0.5115999999999999,0.0368,0.94
s005,6,fixed,0.8,0.5,0.0,1.0
s005,7,fixed,0.8,0.5074,0.0252,0.96
s007,1,fixed,0.8,0.4992,0.0016,1.0
s007,2,fixed,0.8,0.5502,0.0196,0.88
s007,3,fixed,0.8,0.4928,0.0144,1.0
s007,4,fixed,0.8,0.4908,0.0184,1.0
s007,5,fixed,0.8,0.4956,0.0088,1.0
s007,6,fixed,0.8,0.4884,0.0232,1.0
s007,7,fixed,0.8,0.4962,0.0076,1.0
s008,1,fixed,0.8,0.4998,0.0004,1.0
s008,2,fixed,0.8,0.4994,0.0212,0.98
s008,3,fixed,0.8,0.4998,0.0004,1.0
s008,4,fixed,0.8,0.5084,0.0032,0.98
s008,5,fixed,0.8,0.4994,0.0012,1.0
s008,6,fixed,0.8,0.5,0.0,1.0
s008,7,fixed,0.8,0.4986,0.0028,1.0
s010,1,fixed,0.8,0.4962,0.0076,1.0
s010,2,fixed,0.8,0.4968,0.0064,1.0
s010,3,fixed,0.8,0.5018,0.0164,0.98
s010,4,fixed,0.8,0.502,0.016,0.98
s010,5,fixed,0.8,0.4986,0.0028,1.0
s010,6,fixed,0.8,0.4992,0.0016,1.0
s010,7,fixed,0.8,0.498,0.004,1.0
s011,1,fixed,0.8,0.5084,0.0032,0.98
s011,2,fixed,0.8,0.4898,0.0204,1.0
s011,3,fixed,0.8,0.4998,0.0004,1.0
s011,4,fixed,0.8,0.4996,0.0008,1.0
s011,5,fixed,0.8,0.5172,0.0056,0.96
s011,6,fixed,0.8,0.5,0.0,1.0
